src,dst,travelMinutes,weight
1131,51,0.85,0.9576
51,903,0.88,0.9558
903,51,0.88,0.9558
51,10129,0.96,0.9521
10129,51,0.96,0.9521
51,10889,1.72,0.9142
10889,51,1.72,0.9142
51,13182,1.78,0.9111
13182,51,1.78,0.9111
52,10065,0.4,0.9799
10065,52,0.4,0.9799
52,9112,4.9,0.7548
9112,52,4.9,0.7548
52,12284,5.59,0.7206
12284,52,5.59,0.7206
52,1945,5.76,0.7119
1945,52,5.76,0.7119
52,13609,6.13,0.6936
13609,52,6.13,0.6936
52,3135,7.61,0.6197
3135,52,7.61,0.6197
52,12498,7.95,0.6026
12498,52,7.95,0.6026
52,8788,8.41,0.5794
8788,52,8.41,0.5794
53,2614,0.21,0.9893
2614,53,0.21,0.9893
53,293,0.32,0.9842
293,53,0.32,0.9842
53,12294,0.44,0.9782
12294,53,0.44,0.9782
53,4326,0.46,0.9772
4326,53,0.46,0.9772
53,457,0.47,0.9766
457,53,0.47,0.9766
53,9618,0.74,0.9632
9618,53,0.74,0.9632
53,9534,0.8,0.9602
9534,53,0.8,0.9602
53,4330,0.8,0.96
4330,53,0.8,0.96
54,11071,0.11,0.9943
11071,54,0.11,0.9943
54,452,0.41,0.9796
452,54,0.41,0.9796
54,3295,0.56,0.9721
3295,54,0.56,0.9721
54,10100,0.58,0.9708
10100,54,0.58,0.9708
54,13733,0.63,0.9686
13733,54,0.63,0.9686
54,2364,0.97,0.9515
2364,54,0.97,0.9515
54,2386,1.18,0.9411
2386,54,1.18,0.9411
54,8089,1.23,0.9384
8089,54,1.23,0.9384
55,11904,0.05,0.9974
11904,55,0.05,0.9974
55,7855,0.31,0.9843
7855,55,0.31,0.9843
55,12501,0.39,0.9806
12501,55,0.39,0.9806
55,8078,0.63,0.9686
8078,55,0.63,0.9686
55,10648,0.91,0.9544
10648,55,0.91,0.9544
55,1369,1.19,0.9405
1369,55,1.19,0.9405
55,4646,1.28,0.9362
4646,55,1.28,0.9362
55,6621,1.34,0.9329
6621,55,1.34,0.9329
56,9188,2.11,0.8943
9188,56,2.11,0.8943
56,790,5.65,0.7173
790,56,5.65,0.7173
56,9197,5.99,0.7003
9197,56,5.99,0.7003
56,291,8.67,0.5665
291,56,8.67,0.5665
56,13218,9.1,0.5449
13218,56,9.1,0.5449
56,9175,9.17,0.5415
9175,56,9.17,0.5415
56,12559,9.42,0.5288
12559,56,9.42,0.5288
56,1082,9.54,0.5232
1082,56,9.54,0.5232
57,11784,0.75,0.9624
11784,57,0.75,0.9624
57,1359,0.77,0.9614
1359,57,0.77,0.9614
57,1214,0.78,0.9608
1214,57,0.78,0.9608
57,11101,0.91,0.9543
11101,57,0.91,0.9543
57,3061,1.11,0.9447
3061,57,1.11,0.9447
57,1268,1.13,0.9436
1268,57,1.13,0.9436
57,11426,1.24,0.9382
11426,57,1.24,0.9382
57,13111,1.24,0.9381
13111,57,1.24,0.9381
58,9126,0.37,0.9815
9126,58,0.37,0.9815
58,11521,0.61,0.9696
11521,58,0.61,0.9696
58,11909,0.89,0.9557
11909,58,0.89,0.9557
58,9235,1.37,0.9316
9235,58,1.37,0.9316
58,10391,1.43,0.9284
10391,58,1.43,0.9284
58,12116,1.46,0.9269
12116,58,1.46,0.9269
58,11489,1.47,0.9264
11489,58,1.47,0.9264
58,1451,1.47,0.9263
1451,58,1.47,0.9263
59,2518,0.09,0.9956
2518,59,0.09,0.9956
59,11657,0.6,0.9701
11657,59,0.6,0.9701
59,12745,0.86,0.957
12745,59,0.86,0.957
59,3022,1.48,0.926
3022,59,1.48,0.926
59,11310,2.48,0.8761
11310,59,2.48,0.8761
59,11185,3.15,0.8424
11185,59,3.15,0.8424
59,11660,3.71,0.8146
11660,59,3.71,0.8146
59,2228,3.75,0.8127
2228,59,3.75,0.8127
60,2069,2.18,0.8908
2069,60,2.18,0.8908
60,12971,3.81,0.8094
12971,60,3.81,0.8094
60,13034,9.29,0.5356
13034,60,9.29,0.5356
60,799,10.86,0.4572
799,60,10.86,0.4572
60,12080,14.84,0.258
12080,60,14.84,0.258
60,1403,17.06,0.1468
1403,60,17.06,0.1468
60,4518,17.43,0.1284
4518,60,17.43,0.1284
60,4660,18.73,0.0635
4660,60,18.73,0.0635
61,1330,0.3,0.985
1330,61,0.3,0.985
61,4334,0.46,0.9769
4334,61,0.46,0.9769
61,13740,0.46,0.9768
13740,61,0.46,0.9768
61,3448,0.62,0.9688
3448,61,0.62,0.9688
61,12562,0.65,0.9676
12562,61,0.65,0.9676
61,407,0.8,0.9601
407,61,0.8,0.9601
61,1032,0.95,0.9523
1032,61,0.95,0.9523
61,9732,0.99,0.9505
9732,61,0.99,0.9505
62,9775,0.44,0.9782
9775,62,0.44,0.9782
62,12755,0.47,0.9764
12755,62,0.47,0.9764
62,616,0.48,0.9761
616,62,0.48,0.9761
62,9512,0.51,0.9745
9512,62,0.51,0.9745
62,11407,0.52,0.9738
11407,62,0.52,0.9738
62,3875,0.68,0.9659
3875,62,0.68,0.9659
62,9783,0.75,0.9625
9783,62,0.75,0.9625
62,2948,0.78,0.9608
2948,62,0.78,0.9608
63,11050,0.56,0.9721
11050,63,0.56,0.9721
63,9522,0.64,0.9678
9522,63,0.64,0.9678
63,11312,0.64,0.9678
11312,63,0.64,0.9678
63,1179,0.67,0.9664
1179,63,0.67,0.9664
63,10881,0.69,0.9653
10881,63,0.69,0.9653
63,13016,0.75,0.9626
13016,63,0.75,0.9626
